nome,lista,link
AR 1886 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84012&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=255-2019>
ADI 5803 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84362&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=274-2019>
,,
ADI 5704 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84361&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=273-2019>
AR 2325 AG.REG. NA AÇÃO RESCISÓRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84011&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=254-2019>
Rcl 3799 EMB.DECL. NO AG.REG. NA RECLAMAÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84359&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=271-2019>
MS 34573 AG.REG. NOS SEGUNDOS EMB.DIV. NO AG.REG. EM MANDADO DE SEGURANÇA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84792&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=280-2019>
ARE 859957 AG.REG. NOS EMB.DIV. NOS EMB.DECL. NO AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84360&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=272-2019>
Rcl 13592 EMB.DECL. NO AG.REG. NA RECLAMAÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84771&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=281-2019>
ACO 880 AG.REG. NOS EMB.DECL. NA AÇÃO CÍVEL ORIGINÁRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84772&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=282-2019>
ACO 714 TERCEIRO AG.REG. NA AÇÃO CÍVEL ORIGINÁRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82129&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=205-2019>
ARE 756993 EMB.DECL. NOS EMB.DECL. NO AG.REG. NOS EMB.DECL. NOS EMB.DIV. NOS EMB.DECL. NO AG.REG. NOS EMB.DECL. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82365&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=210-2019>
MI 1005 SEGUNDO AG.REG. NO MANDADO DE INJUNÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82352&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=213-2019>
MI 6286 AG.REG. NO MANDADO DE INJUNÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82831&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=232-2019>
,,
,,
Pet 8504 AG.REG. NA PETIÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84854&amp;data=11/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=O&amp;lista=252-2019>
AR 2730 EMB.DECL. NO AG.REG. NA AÇÃO RESCISÓRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84855&amp;data=11/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=O&amp;lista=253-2019>
,,
ADI 4943 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=80807&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=124-2019>
ADI 4758 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83369&amp;data=11/12/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=O&amp;lista=231-2019>
ADI 2658 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81758&amp;data=11/12/2019&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=O&amp;lista=21-2019>
ADI 3550 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83125&amp;data=11/12/2019&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=O&amp;lista=22-2019>
MI 6954 AG.REG. NO MANDADO DE INJUNÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83209&amp;data=11/12/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=O&amp;lista=175-2019>
AI 785733 EMB.DIV. NOS EMB.DECL. NO AG.REG. NO AGRAVO DE INSTRUMENTO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79864&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=87-2019>
ADI 3250 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82519&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=169-2019>
ADI 3261 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83144&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=170-2019>
ARE 993384 AG.REG. NOS EMB.DIV. NO AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82517&amp;data=11/12/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=O&amp;lista=18-2019>
ADI 1244 SEGUNDA QUESTÃO DE ORDEM NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82964&amp;data=11/12/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=O&amp;lista=233-2019>
ACO 1575 AG.REG. NA AÇÃO CÍVEL ORIGINÁRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81757&amp;data=11/12/2019&amp;ministro=MIN.RICARDOLEWANDOWSKI&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA2>
,,
