nome,lista,link
ADI 5521,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68639&amp;data=09/05/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA6
ADI 5800,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73260&amp;data=08/05/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA11
ADI 5897,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=72599&amp;data=24/04/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 241,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67779&amp;data=11/04/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 2127,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67780&amp;data=11/04/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 170,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67765&amp;data=11/04/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA3
ADI 5007,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70650&amp;data=11/04/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 4345,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70659&amp;data=11/04/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 4908,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70119&amp;data=11/04/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5323,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70139&amp;data=11/04/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 1246,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70704&amp;data=11/04/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 3829,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66319&amp;data=11/04/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
